date,JNJ,HD,INTC,AMD,MU,NVDA,TSM
2019-03-26,69.29,189.34,53.44,25.69,40.32,176.87,40.4
2019-03-25,69.28,189.68,52.78,25.97,40.55,173.78,39.92
2019-03-22,69.01,188.75,53.26,26.37,41.62,177.5,40.43
2019-03-21,69.85,189.97,54.64,27.89,43.99,183.94,41.04
2019-03-20,68.8,186.1,53.82,25.7,40.13,174.4,39.85
2019-03-19,68.31,184.13,54.17,26.0,40.37,175.71,39.76
2019-03-18,68.37,183.42,54.1,23.25,39.61,168.95,39.85
2019-03-15,66.85,182.23,54.33,23.29,39.54,169.81,39.65
2019-03-14,67.12,181.61,53.44,22.82,38.41,165.56,38.82
2019-03-13,67.31,181.14,54.37,23.38,38.83,168.62,39.21
2019-03-12,66.75,184.0,53.57,23.49,39.25,162.52,38.9
2019-03-11,66.29,182.44,53.35,22.96,39.03,161.14,38.64
2019-03-08,65.58,181.23,52.48,22.01,38.65,150.64,38.2
2019-03-07,65.89,182.51,52.6,22.08,37.83,149.26,38.63
2019-03-06,65.43,184.45,52.95,22.41,37.93,152.05,38.79
2019-03-05,65.95,184.0,53.68,23.5,39.99,156.52,39.02
2019-03-04,65.9,183.81,53.94,23.37,41.06,156.78,39.15
2019-03-01,65.87,185.17,53.3,23.68,41.58,156.45,39.39
2019-02-28,64.26,185.14,52.96,23.53,40.88,154.26,39.05
2019-02-27,65.15,183.67,53.24,23.48,41.32,155.41,39.45
2019-02-26,64.29,188.3,53.23,24.21,42.96,157.1,39.6
2019-02-25,67.65,189.98,53.1,24.71,42.75,158.69,39.58
2019-02-22,67.87,192.39,52.49,24.36,42.57,159.19,39.39
2019-02-21,67.8,191.82,51.41,23.92,41.53,155.77,38.98
2019-02-20,68.12,191.85,51.39,23.95,42.21,158.55,39.0
2019-02-19,68.58,192.33,51.4,23.95,41.96,156.64,38.46
2019-02-15,67.71,192.39,51.66,23.68,41.99,157.34,38.09
2019-02-14,66.68,187.71,50.81,23.13,42.23,154.53,38.06
2019-02-13,66.08,188.41,50.47,22.85,41.68,152.88,38.13
2019-02-12,65.21,185.52,50.01,22.82,40.4,151.17,38.64
2019-02-11,65.05,182.92,48.77,22.96,38.58,146.45,38.29
2019-02-08,65.02,184.54,48.84,23.05,38.58,148.17,37.79
2019-02-07,65.14,184.07,49.23,22.67,39.38,147.42,38.12
2019-02-06,65.77,184.72,49.9,23.26,41.52,153.0,38.74
2019-02-05,66.21,186.39,50.01,23.31,39.37,149.95,38.25
2019-02-04,65.99,186.43,49.22,24.13,39.47,149.18,37.94
2019-02-01,65.16,184.37,48.73,24.51,39.6,144.73,37.57
2019-01-31,64.21,183.53,47.12,24.41,38.22,143.75,37.62
2019-01-30,64.2,182.18,47.54,23.09,38.24,137.39,37.38
2019-01-29,63.6,179.69,46.54,19.25,37.39,131.6,36.33
2019-01-28,62.29,179.83,46.71,20.18,38.08,138.01,37.44
2019-01-25,62.44,180.4,47.04,21.93,38.96,160.15,38.14
2019-01-24,62.65,177.29,49.76,20.85,36.59,157.84,37.64
2019-01-23,62.55,176.89,47.94,19.8,34.24,149.29,36.49
2019-01-22,62.58,177.11,48.27,19.76,33.87,148.77,36.37
2019-01-18,63.19,179.58,49.19,20.77,35.76,156.93,36.84
2019-01-17,61.9,174.87,48.47,20.25,33.88,151.72,36.29
2019-01-16,61.17,177.04,48.13,19.73,33.58,148.84,35.64
2019-01-15,60.96,176.47,48.6,20.38,33.99,149.87,36.04
2019-01-14,59.37,178.81,48.35,20.23,34.67,150.44,35.76
2019-01-11,59.8,179.41,48.93,20.27,36.01,148.83,36.61
2019-01-10,60.04,179.06,48.56,19.74,35.91,145.23,36.42
2019-01-09,59.73,179.73,48.01,20.19,35.44,142.58,35.61
2019-01-08,58.87,177.89,47.74,20.75,33.74,139.83,34.94
2019-01-07,57.64,177.04,47.44,20.57,34.0,143.4,35.23
2019-01-04,56.65,173.62,47.22,19.0,32.7,136.19,34.97
2019-01-03,54.28,168.61,44.49,17.05,31.0,127.99,34.36
2019-01-02,54.41,172.41,47.08,18.83,32.75,136.22,36.52
2018-12-31,53.95,171.82,46.93,18.46,31.73,133.5,36.91
2018-12-28,52.98,170.22,46.75,17.82,31.57,133.65,37.14
2018-12-27,53.32,170.32,46.36,17.49,31.93,131.17,36.78
2018-12-26,53.7,168.28,46.19,17.9,30.89,133.1,36.76
2018-12-24,50.79,158.14,43.59,16.65,29.02,127.08,35.29
2018-12-21,53.9,160.48,44.84,16.93,30.32,129.57,35.71
2018-12-20,54.52,164.16,45.54,17.94,31.28,135.1,35.88
2018-12-19,55.89,167.56,45.57,18.16,31.41,138.51,36.23
2018-12-18,56.47,170.04,47.74,19.5,34.11,146.94,36.76
2018-12-17,58.6,167.97,47.08,18.83,33.88,143.58,36.22
2018-12-14,60.19,172.29,47.86,19.9,34.2,146.45,36.53
2018-12-13,61.45,173.87,48.29,19.86,35.02,148.89,37.33
2018-12-12,59.71,174.21,47.83,20.48,36.03,148.9,37.38
2018-12-11,58.98,172.21,47.38,19.98,35.21,148.19,36.7
2018-12-10,59.16,171.69,47.21,19.99,34.8,151.86,36.43
2018-12-07,59.99,172.79,46.24,19.46,35.31,147.61,36.52
2018-12-06,59.37,175.96,48.37,21.3,37.67,158.29,36.86
2018-12-04,60.6,175.3,47.75,21.12,36.88,157.11,37.44
2018-12-03,62.75,181.74,50.13,23.71,40.03,170.04,38.73
2018-11-30,61.43,180.32,49.31,21.3,38.56,163.43,37.59
2018-11-29,61.34,175.66,47.7,21.43,37.91,157.36,37.93
2018-11-28,60.52,177.43,48.86,21.34,38.71,160.07,38.01
2018-11-27,59.75,173.22,48.07,21.05,37.0,153.73,36.8
2018-11-26,59.53,169.82,47.45,20.08,36.57,153.05,36.84
2018-11-23,59.1,168.85,46.54,19.38,36.4,145.0,35.96
2018-11-21,60.99,169.3,47.03,18.73,36.38,144.71,36.17
2018-11-20,60.34,169.05,47.39,19.21,36.12,149.08,35.64
2018-11-19,62.28,173.59,48.0,19.11,36.83,144.7,36.05
2018-11-16,62.2,177.02,48.83,20.66,39.44,164.43,36.87
2018-11-15,61.36,177.36,48.11,21.49,39.91,202.39,38.52
2018-11-14,60.37,179.9,47.09,20.81,38.03,197.19,37.84
2018-11-13,61.01,179.0,47.39,19.61,37.85,199.31,37.4
2018-11-12,62.39,179.43,46.65,19.03,37.44,189.54,37.06
2018-11-09,63.09,185.99,48.11,21.03,39.11,205.67,38.07
2018-11-08,63.97,188.0,48.99,21.2,40.44,205.99,38.7
2018-11-07,64.07,187.23,48.72,21.84,40.93,213.79,39.18
2018-11-06,63.69,182.01,47.25,20.68,39.8,211.06,38.73
2018-11-05,63.95,182.19,47.97,19.9,39.92,211.77,38.48
2018-11-02,62.53,179.93,47.11,20.23,40.32,214.92,38.78
2018-11-01,64.81,180.46,48.22,20.22,40.12,218.11,39.05
2018-10-31,65.6,175.88,46.88,18.21,37.72,210.83,38.1
2018-10-30,63.27,176.24,47.76,17.2,36.01,203.0,37.78
2018-10-29,63.23,173.2,45.4,16.85,34.66,185.62,36.33
2018-10-26,63.34,172.23,45.69,17.63,35.4,198.29,36.67
2018-10-25,64.61,179.07,44.31,19.27,36.78,207.84,37.39
2018-10-24,63.64,176.97,42.42,22.79,35.43,199.41,36.48
2018-10-23,65.9,178.53,44.5,25.09,38.68,221.06,38.0
2018-10-22,66.98,178.75,45.01,25.03,39.76,231.22,38.72
2018-10-19,67.79,179.85,44.0,23.66,40.45,229.17,38.45
2018-10-18,66.92,180.44,44.97,26.62,41.3,239.53,38.54
2018-10-17,67.02,185.17,45.89,27.3,42.35,243.06,39.57
2018-10-16,67.46,193.58,45.94,28.18,43.21,245.83,40.01
2018-10-15,64.81,191.17,44.53,26.26,42.34,235.38,38.75
2018-10-12,65.02,192.47,44.88,26.34,42.47,246.54,39.66
2018-10-11,65.22,189.74,44.23,25.3,41.97,235.13,38.94
2018-10-10,67.31,193.7,44.8,25.0,41.61,245.69,39.35
2018-10-09,68.72,195.75,46.55,27.24,42.27,265.54,40.9
2018-10-08,68.4,198.41,47.03,26.46,43.07,265.77,40.96
2018-10-05,68.61,196.38,47.03,27.35,43.58,269.86,41.63
2018-10-04,68.48,198.85,48.13,27.78,44.16,279.29,42.43
2018-10-03,68.43,203.74,48.76,28.43,45.15,286.73,43.96
2018-10-02,67.88,204.75,48.1,29.02,45.76,286.48,43.62
2018-10-01,68.95,207.6,46.45,31.42,45.15,289.36,44.66
2018-09-28,67.79,207.15,47.29,30.89,45.23,281.02,44.16
2018-09-27,68.18,206.84,45.88,32.59,44.99,267.4,44.76
2018-09-26,68.41,207.52,45.7,32.19,44.35,266.92,44.27
2018-09-25,68.43,207.46,45.91,32.57,44.64,268.41,44.17
2018-09-24,67.87,207.99,46.91,32.61,45.16,265.7,44.89
2018-09-21,69.11,212.39,46.66,31.02,44.74,263.45,44.06
2018-09-20,68.61,211.06,47.2,31.18,46.06,266.28,44.17
2018-09-19,69.52,211.68,46.15,31.21,45.06,271.98,44.02
2018-09-18,69.14,211.02,46.1,31.93,45.33,271.02,43.56
2018-09-17,67.97,208.4,45.42,32.43,43.58,273.93,43.76
2018-09-14,66.39,209.07,45.54,32.72,44.3,276.43,44.41
2018-09-13,65.96,209.45,45.57,30.48,43.62,271.34,43.43
2018-09-12,65.11,211.98,44.93,32.21,41.74,268.2,43.94
2018-09-11,65.02,213.85,44.93,30.1,43.6,272.8,44.55
2018-09-10,64.56,210.69,46.3,29.89,44.9,274.73,44.62
2018-09-07,65.84,206.23,46.45,27.38,44.86,271.86,44.88
2018-09-06,66.01,205.89,47.26,27.84,44.65,272.72,44.05
2018-09-05,66.08,204.15,47.72,28.51,49.54,278.42,44.22
2018-09-04,65.7,205.08,47.96,28.06,51.93,283.7,44.11
2018-08-31,65.91,200.77,48.43,25.17,52.52,280.68,43.6
2018-08-30,66.45,199.26,48.24,24.89,52.76,277.81,43.46
2018-08-29,66.68,201.68,48.75,25.2,51.83,278.49,44.13
2018-08-28,67.32,201.97,48.57,25.05,52.34,274.38,42.35
2018-08-27,67.81,201.98,48.35,25.26,52.07,275.9,41.53
2018-08-24,67.49,201.3,47.66,23.98,50.7,272.22,41.24
2018-08-23,67.22,200.16,46.98,22.29,49.7,266.84,40.68
2018-08-22,68.22,198.97,47.05,20.9,50.24,262.82,40.9
2018-08-21,67.47,200.23,47.62,20.4,49.94,253.32,40.89
2018-08-20,67.84,197.93,46.5,19.98,48.07,247.84,40.1
2018-08-17,67.52,195.56,47.1,19.77,47.11,244.82,40.13
2018-08-16,67.15,195.39,47.17,19.33,47.1,257.44,40.41
2018-08-15,66.95,193.99,47.46,19.7,47.49,259.08,40.45
2018-08-14,68.55,193.1,48.12,20.02,50.62,261.43,40.91
2018-08-13,68.04,194.14,48.45,19.73,51.34,256.12,40.71
2018-08-10,68.9,196.3,48.85,19.06,51.37,254.79,41.03
2018-08-09,68.74,198.08,50.14,19.1,52.26,256.46,41.84
2018-08-08,68.61,198.02,49.96,19.58,53.39,258.42,41.97
2018-08-07,68.24,197.05,49.7,19.56,53.04,256.95,41.24
2018-08-06,68.21,195.69,49.3,19.43,52.67,254.03,41.07
2018-08-03,67.51,195.64,49.63,18.49,52.81,252.1,41.69
2018-08-02,68.5,195.66,49.48,18.79,53.4,250.62,41.55
2018-08-01,68.12,196.3,48.81,18.48,52.29,246.47,41.71
2018-07-31,70.44,197.52,48.1,18.33,52.79,244.86,41.21
2018-07-30,70.58,197.28,47.69,19.42,53.01,244.13,41.09
2018-07-27,70.12,197.14,47.68,18.94,53.96,252.02,41.45
2018-07-26,71.29,199.4,52.16,18.35,53.76,254.84,40.82
2018-07-25,70.89,201.0,52.43,16.05,53.39,251.87,40.89
2018-07-24,70.38,201.99,52.18,16.19,53.17,248.71,40.39
2018-07-23,70.15,202.23,52.31,16.66,54.29,249.41,40.74
2018-07-20,69.93,202.45,51.91,16.5,55.02,250.89,40.73
2018-07-19,70.44,202.63,51.98,16.71,56.22,252.03,39.81
2018-07-18,70.13,200.97,51.72,16.85,57.45,251.7,38.41
2018-07-17,70.33,201.1,51.75,16.87,56.96,253.69,38.04
2018-07-16,70.01,198.88,52.01,16.58,56.15,248.2,37.79
2018-07-13,71.4,198.69,52.22,16.27,56.35,249.32,37.77
2018-07-12,70.86,197.95,52.35,16.56,55.45,251.23,37.31
2018-07-11,70.31,196.95,51.2,16.27,54.18,247.53,36.97
2018-07-10,71.22,197.61,52.16,16.55,55.74,253.25,37.93
2018-07-09,71.31,196.08,51.86,16.61,54.31,249.25,37.83
2018-07-06,71.21,194.48,51.37,16.36,53.23,247.33,37.27
2018-07-05,70.23,194.41,50.75,15.5,52.84,242.73,36.59
2018-07-03,69.33,193.62,49.47,15.0,51.48,236.84,36.39
2018-07-02,68.95,194.02,50.2,15.16,54.48,242.24,36.54
2018-06-29,69.83,195.1,49.71,14.99,52.44,236.9,36.56
2018-06-28,69.93,195.21,49.25,15.31,53.14,240.86,35.94
2018-06-27,69.75,195.02,48.76,14.97,52.26,235.72,35.51
2018-06-26,69.72,196.36,49.67,15.5,54.59,241.99,36.46
2018-06-25,68.7,196.38,50.71,15.11,53.16,239.12,36.51
2018-06-22,69.99,197.41,52.5,15.8,57.1,250.95,38.12
2018-06-21,68.78,200.31,52.19,15.65,59.44,257.11,37.62
2018-06-20,70.07,199.08,53.46,16.52,58.95,262.31,38.35
2018-06-19,68.79,199.21,52.93,16.69,59.25,260.17,37.56
2018-06-18,68.52,200.69,53.22,17.11,58.45,265.09,38.25
2018-06-15,67.78,200.54,55.11,16.34,58.23,265.26,38.69
2018-06-14,69.34,199.67,55.54,16.25,59.18,266.91,38.6
2018-06-13,68.87,200.31,55.03,16.32,60.05,262.4,39.05
2018-06-12,69.24,201.31,54.82,15.85,60.55,262.58,39.2
2018-06-11,69.02,199.64,54.52,15.73,61.39,260.62,38.76
2018-06-08,68.45,198.33,55.05,15.25,61.39,262.28,38.93
2018-06-07,68.55,196.17,55.88,14.89,59.63,262.9,39.52
2018-06-06,67.66,193.59,57.03,15.67,59.42,265.15,39.56
2018-06-05,68.57,191.94,56.53,14.85,59.41,265.07,39.54
2018-06-04,68.3,191.36,56.83,14.85,59.1,264.85,39.97
2018-06-01,68.51,187.35,57.08,14.4,58.74,257.62,39.2
2018-05-31,68.16,186.55,55.2,13.73,57.59,252.19,38.7
2018-05-30,68.23,187.09,55.68,13.82,62.57,252.99,38.34
2018-05-29,66.3,185.0,55.32,13.36,62.62,248.59,38.16
2018-05-25,65.89,186.85,55.44,13.54,61.35,249.28,39.3
2018-05-24,66.38,187.15,54.75,13.41,61.49,247.69,39.27
2018-05-23,66.73,186.67,55.21,13.1,59.97,247.54,39.65
2018-05-22,66.06,186.87,54.45,12.98,59.03,242.7,39.64
2018-05-21,66.49,189.79,54.32,12.99,55.48,244.24,39.47
2018-05-18,66.27,187.42,53.5,13.0,53.39,245.94,38.42
2018-05-17,66.52,185.33,54.81,12.82,54.7,247.71,38.96
2018-05-16,66.65,186.38,54.64,12.82,56.5,246.01,39.79
2018-05-15,66.67,187.98,53.92,12.45,54.01,245.56,39.3
2018-05-14,66.59,191.08,54.9,12.23,53.0,255.36,39.95
2018-05-11,65.82,190.31,54.67,11.95,51.82,254.53,39.91
2018-05-10,65.3,187.16,54.98,12.13,52.66,260.13,39.77
2018-05-09,64.71,186.36,54.34,11.95,51.01,255.78,39.35
2018-05-08,63.94,185.04,53.63,11.61,48.57,250.4,39.18
2018-05-07,64.07,183.56,53.33,11.59,48.48,248.68,38.45
2018-05-04,63.45,185.03,52.78,11.28,47.58,239.06,38.59
2018-05-03,62.84,183.19,52.28,10.93,46.62,232.99,38.1
2018-05-02,62.57,185.91,52.31,10.97,45.89,226.31,37.75
2018-05-01,60.49,184.63,53.33,11.13,46.79,227.14,38.93
2018-04-30,60.22,184.8,51.62,10.88,45.98,224.9,38.45
2018-04-27,59.88,186.46,52.73,11.11,47.52,226.33,38.17
2018-04-26,60.13,185.72,53.05,11.04,50.14,225.22,38.17
2018-04-25,59.6,177.39,51.38,9.71,47.6,216.66,38.17
2018-04-24,59.39,176.26,51.45,10.09,47.11,221.2,38.75
2018-04-23,59.96,177.66,51.1,10.04,49.02,223.88,38.75
2018-04-20,59.54,177.01,51.53,9.99,50.62,228.71,38.95
2018-04-19,59.74,177.08,52.22,10.11,51.42,229.04,39.53
2018-04-18,59.83,179.85,53.61,10.36,54.01,236.37,41.92
2018-04-17,59.67,174.91,53.54,10.52,52.26,237.54,42.31
2018-04-16,59.75,174.43,52.4,10.09,51.65,231.49,42.87
2018-04-13,58.51,172.8,51.86,9.93,52.23,231.5,42.65
2018-04-12,58.32,173.36,52.72,10.08,52.59,234.6,43.85
2018-04-11,58.62,172.86,51.1,9.82,50.48,226.24,43.38
2018-04-10,58.31,173.49,51.27,9.98,50.48,227.91,43.58
2018-04-09,56.75,172.51,49.55,9.53,47.96,215.41,43.07
2018-04-06,56.69,174.45,48.79,9.61,48.46,214.25,42.42
2018-04-05,57.44,179.13,50.38,10.02,49.84,221.38,43.32
2018-04-04,56.52,177.44,49.99,9.77,53.39,226.24,43.94
2018-04-03,56.6,173.76,49.75,9.55,51.55,225.35,43.48
2018-04-02,56.14,172.9,48.92,9.53,50.06,221.05,42.5
2018-03-29,56.92,178.24,52.08,10.05,52.14,231.59,43.76
2018-03-28,55.63,174.76,49.6,9.81,51.49,221.35,42.69
2018-03-27,56.96,174.68,51.19,10.0,52.4,225.52,43.29
2018-03-26,57.02,176.38,52.48,10.44,55.56,244.48,44.27
2018-03-23,56.75,171.8,49.36,10.63,54.21,232.97,42.58
2018-03-22,57.33,175.29,50.83,10.91,58.92,241.85,43.69
2018-03-21,58.46,178.02,51.56,11.26,61.07,248.56,44.7
2018-03-20,57.64,178.16,51.55,11.11,61.15,249.58,44.83
2018-03-19,56.47,177.1,50.83,11.43,60.14,241.0,44.6
2018-03-16,57.81,178.96,51.17,11.47,60.58,250.48,44.97
2018-03-15,56.64,178.07,50.88,11.46,58.84,249.34,45.31
2018-03-14,57.16,177.41,51.86,11.36,59.78,248.74,45.15
2018-03-13,57.76,178.35,51.78,11.64,59.43,247.71,44.99
2018-03-12,57.59,179.71,51.52,11.52,59.37,249.76,45.22
2018-03-09,57.31,182.16,52.19,11.7,54.59,245.33,44.59
2018-03-08,56.6,177.94,50.74,11.97,55.22,241.18,43.8
2018-03-07,56.71,178.58,51.32,12.24,53.97,241.84,44.2
2018-03-06,57.02,181.64,50.71,11.76,53.74,242.16,43.54
2018-03-05,56.91,181.74,49.75,11.91,52.03,235.65,43.49
2018-03-02,57.08,178.46,48.98,11.81,49.11,236.54,43.01
2018-03-01,56.51,179.64,47.84,11.9,47.62,232.21,42.72
2018-02-28,56.33,182.27,49.29,12.11,48.81,242.0,43.35
2018-02-27,57.0,184.98,49.91,12.53,48.58,246.06,43.62
2018-02-26,57.47,188.46,49.11,12.42,47.98,246.58,44.41
2018-02-23,58.02,188.35,47.73,12.07,46.53,245.93,43.9
2018-02-22,57.18,185.47,45.8,11.84,44.25,242.15,42.39
2018-02-21,56.1,183.06,45.94,11.72,44.54,241.51,42.89
2018-02-20,57.02,186.71,46.32,12.02,44.9,249.08,43.74
2018-02-16,56.91,186.97,45.56,11.82,44.21,243.84,43.48
2018-02-15,57.8,185.27,45.92,12.19,43.5,246.5,43.52
2018-02-14,57.47,184.69,45.38,12.2,43.45,241.42,43.05
2018-02-13,56.84,183.72,44.46,11.78,42.63,232.63,42.38
2018-02-12,56.55,184.06,44.83,11.68,42.19,228.03,42.53
2018-02-09,54.33,184.12,43.95,11.31,40.41,232.08,41.47
2018-02-08,54.4,181.22,42.75,11.22,40.0,217.52,40.36
2018-02-07,56.58,191.29,45.2,11.6,42.01,228.8,41.88
2018-02-06,56.42,191.04,44.91,11.65,43.88,225.58,43.59
2018-02-05,55.56,183.11,44.52,11.57,39.4,213.7,42.95
2018-02-02,57.75,193.97,46.15,12.45,40.82,233.52,44.51
2018-02-01,59.74,199.9,47.65,13.25,42.49,240.5,45.45
2018-01-31,58.86,200.9,48.14,13.74,43.72,245.8,45.31
2018-01-30,58.73,201.81,48.79,12.87,41.67,242.72,44.88
2018-01-29,59.49,204.92,49.98,13.32,43.29,246.85,45.4
2018-01-26,60.15,207.23,50.08,12.95,43.67,243.33,45.72
2018-01-25,60.58,205.37,45.3,12.41,43.01,236.35,45.1
2018-01-24,60.71,206.22,45.51,12.71,43.08,235.8,45.33
2018-01-23,60.48,204.9,46.06,12.94,43.95,238.91,46.28
2018-01-22,59.88,204.46,45.75,12.65,42.88,233.69,46.38
2018-01-19,58.32,201.33,44.82,12.59,42.75,230.11,44.67
2018-01-18,58.14,198.33,44.48,12.47,43.99,224.44,44.57
2018-01-17,59.41,199.82,44.39,12.18,44.26,224.72,43.13
2018-01-16,58.8,196.31,43.14,11.91,42.92,220.11,42.23
2018-01-12,58.67,196.42,43.24,12.02,42.81,222.98,41.19
2018-01-11,58.36,194.68,43.41,12.14,42.82,224.08,41.03
2018-01-10,56.74,191.8,42.5,11.96,43.31,223.68,41.3
2018-01-09,56.49,193.1,43.62,11.82,42.97,221.94,42.18
2018-01-08,56.64,192.04,44.74,12.28,45.55,222.0,42.44
2018-01-05,56.06,192.5,44.74,11.88,45.8,215.4,42.46
2018-01-04,56.2,190.51,44.43,12.12,46.88,213.59,41.49
2018-01-03,55.54,189.01,45.26,11.55,44.98,212.47,41.71
2018-01-02,54.65,188.03,46.85,10.98,43.67,199.35,41.02
2017-12-29,53.45,189.53,46.16,10.28,41.12,193.5,39.65
2017-12-28,53.49,189.78,46.22,10.55,41.81,197.4,39.74
2017-12-27,53.17,190.19,46.11,10.53,42.48,197.17,39.08
2017-12-26,53.26,190.36,46.08,10.46,42.25,197.44,38.95
2017-12-22,53.21,188.13,46.7,10.54,44.12,195.27,39.63
2017-12-21,52.22,188.08,46.76,10.89,44.42,195.89,39.23
2017-12-20,51.51,187.31,47.56,10.98,45.75,196.8,39.44
2017-12-19,51.86,185.98,47.04,10.95,43.98,196.11,39.34
2017-12-18,52.35,184.73,46.26,10.98,43.71,197.9,39.4
2017-12-15,52.16,182.58,44.56,10.29,42.4,191.56,39.5
2017-12-14,52.74,182.13,43.26,10.13,42.24,186.47,39.4
2017-12-13,53.22,183.03,43.34,10.11,42.05,186.18,39.29
2017-12-12,53.4,181.8,43.33,9.9,41.86,190.84,39.3
2017-12-11,53.4,182.25,43.66,10.16,43.01,194.66,39.37
2017-12-08,53.01,183.41,43.35,9.94,43.21,191.49,39.0
2017-12-07,52.41,182.0,43.08,10.04,43.2,191.99,39.01
2017-12-06,51.8,180.8,43.45,10.0,41.58,189.26,38.68
2017-12-05,52.34,182.85,43.44,9.91,41.21,187.74,39.2
2017-12-04,52.29,184.9,44.49,10.03,39.9,186.66,39.39
2017-12-01,52.11,180.42,44.68,10.73,41.99,197.68,39.7
2017-11-30,51.9,179.82,44.84,10.89,42.39,200.71,39.6
2017-11-29,50.43,177.25,43.95,10.83,43.74,196.42,39.41
2017-11-28,50.06,176.57,44.73,11.17,47.93,210.71,40.93
2017-11-27,50.02,174.16,44.49,11.55,48.05,214.14,41.09
2017-11-24,51.04,172.33,44.75,11.38,49.68,216.96,42.99
2017-11-22,50.58,172.06,44.65,11.37,49.14,214.93,42.41
2017-11-21,50.2,172.86,44.94,11.4,49.4,216.05,42.58
2017-11-20,50.83,170.45,44.62,11.34,47.64,214.08,42.21
2017-11-17,50.67,167.74,44.63,11.38,46.16,211.36,42.07
2017-11-16,50.65,167.5,45.65,11.25,46.18,211.61,42.1
2017-11-15,50.83,165.47,45.46,11.07,45.36,209.98,41.54
2017-11-14,51.38,168.06,45.86,11.12,45.8,214.18,41.86
2017-11-13,52.21,165.35,45.75,11.09,45.6,212.63,42.01
2017-11-10,52.4,164.11,45.58,11.26,44.78,216.14,41.72
2017-11-09,52.99,163.27,46.3,11.12,43.5,205.32,41.64
2017-11-08,53.1,164.05,46.7,11.71,44.09,209.16,42.43
2017-11-07,53.17,163.66,46.78,12.05,43.95,212.03,42.51
2017-11-06,52.8,164.22,46.7,11.93,43.25,209.63,42.43
2017-11-03,52.65,164.39,46.34,11.12,43.71,208.69,42.19
2017-11-02,53.35,162.71,47.1,10.85,44.34,205.94,42.15
2017-11-01,54.53,165.38,46.71,10.8,44.38,207.2,42.1
2017-10-31,54.27,165.78,45.49,10.985,44.31,206.81,42.33
2017-10-30,54.04,165.31,44.37,10.89,41.65,203.84,42.13
2017-10-27,54.08,167.34,44.4,11.84,40.85,201.86,42.15
2017-10-26,53.43,167.65,41.35,12.005,40.6,195.69,41.2
2017-10-25,53.71,166.07,40.78,12.33,41.06,193.66,41.16
2017-10-24,55.94,166.03,40.95,14.25,41.6,198.68,41.32
2017-10-23,55.05,164.74,40.83,14.1,41.56,196.62,41.21
2017-10-20,56.0,163.43,40.43,13.81,41.5,196.9,41.12
2017-10-19,55.81,163.24,40.09,13.95,41.31,197.8,41.07
2017-10-18,55.37,163.45,40.25,14.07,41.65,197.58,41.5
2017-10-17,56.42,163.35,39.79,14.16,40.39,197.75,41.25
2017-10-16,56.25,164.22,39.76,14.26,41.49,197.93,40.89
2017-10-13,56.47,164.47,39.67,14.22,40.4,194.59,40.82
2017-10-12,56.41,164.59,39.19,14.2,40.58,191.03,40.44
